날짜,지역,범죄유형,상세죄종,발생(건),전년대비(건) ±,증감비율(%) ±,주민등록인구(명),인구 10만 명 당  발생(건)
2021,전국,전체,총합,1429826,-158040,-9.95,51638809,2768.9
2021,강원도,전체,총합,31959,-2338,-6.82,1538492,2077.3
2021,경기도,전체,총합,347967,-35598,-9.28,13565450,2565.1
2021,경상남도,전체,총합,82219,-6589,-7.42,3314183,2480.8
2021,경상북도,전체,총합,55358,-6699,-10.79,2626609,2107.6
2021,광주광역시,전체,총합,39203,-3976,-9.21,1441611,2719.4
2021,대구광역시,전체,총합,67795,-4376,-6.06,2385412,2842.1
2021,대전광역시,전체,총합,39711,-4715,-10.61,1452251,2734.4
2021,부산광역시,전체,총합,105737,-14358,-11.96,3350380,3156.0
2021,서울특별시,전체,총합,252289,-38527,-13.25,9509458,2653.0
2021,세종특별자치시,전체,총합,5921,-330,-5.28,371895,1592.1
2021,울산광역시,전체,총합,31015,-819,-2.57,1121592,2765.3
2021,인천광역시,전체,총합,80589,-10668,-11.69,2948375,2733.3
2021,전라남도,전체,총합,32526,-3849,-10.58,1832803,1774.7
2021,전라북도,전체,총합,39926,-3748,-8.58,1786855,2234.4
2021,제주특별자치도,전체,총합,25903,-2749,-9.59,676759,3827.5
2021,충청남도,전체,총합,44267,-6951,-13.57,2119257,2088.8
2021,충청북도,전체,총합,31904,-3562,-10.04,1597427,1997.2
